,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
415,8,6,8,4,94.8,222.4,698.6,13.9,27.5,27,4.9,0.0,746.28
119,3,4,8,4,93.0,75.3,466.6,7.7,19.6,36,3.1,0.0,0.0
477,4,3,7,7,93.7,101.3,423.4,14.7,26.1,45,4.0,0.0,7.36
249,3,4,8,3,93.1,157.3,666.7,13.5,21.7,40,0.4,0.0,2.47
202,7,4,2,7,83.9,8.7,32.1,2.1,8.8,68,2.2,0.0,13.05
342,6,3,9,1,91.5,130.1,807.1,7.5,20.6,37,1.8,0.0,0.0
443,1,2,7,5,90.7,80.9,368.3,16.8,14.8,78,8.0,0.0,0.0
461,8,6,8,6,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,0.0
345,2,2,9,1,91.5,130.1,807.1,7.5,16.8,43,3.1,0.0,5.83
103,2,4,9,6,92.5,121.1,674.4,8.6,24.1,29,4.5,0.0,0.0
485,2,4,8,1,95.0,135.5,596.3,21.3,30.6,28,3.6,0.0,2.07
181,8,6,10,1,84.9,32.8,664.2,3.0,19.1,32,4.0,0.0,5.44
249,3,4,8,3,93.1,157.3,666.7,13.5,21.7,40,0.4,0.0,2.47
291,9,4,7,6,91.6,104.2,474.9,9.0,25.3,39,0.9,0.0,8.0
151,9,9,7,7,90.1,68.6,355.2,7.2,24.8,29,2.2,0.0,1.36
151,9,9,7,7,90.1,68.6,355.2,7.2,24.8,29,2.2,0.0,1.36
409,1,4,7,2,92.3,96.2,450.2,12.1,23.4,31,5.4,0.0,0.0
434,1,4,8,5,90.6,269.8,811.2,5.5,22.2,45,3.6,0.0,0.0
294,8,6,7,2,92.3,88.8,440.9,8.5,17.1,67,3.6,0.0,6.57
462,1,4,9,7,91.0,276.3,825.1,7.1,14.5,76,7.6,0.0,3.71
271,8,6,8,2,92.1,152.6,658.2,14.3,20.1,58,4.5,0.0,9.27
189,7,4,3,7,90.7,44.0,92.4,5.5,11.5,60,4.0,0.0,8.24
131,4,6,3,1,87.2,23.9,64.7,4.1,14.0,39,3.1,0.0,0.0
34,6,3,9,1,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0
33,6,3,9,7,91.7,75.6,718.3,7.8,17.7,39,3.6,0.0,0.0
207,7,5,9,2,91.0,129.5,692.6,7.0,20.7,37,2.2,0.0,17.2
250,8,5,8,3,93.1,157.3,666.7,13.5,26.8,25,3.1,0.0,0.68
155,7,4,8,7,94.8,108.3,647.1,17.0,16.4,47,1.3,0.0,1.56
167,6,5,8,3,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0,2.51
472,8,3,6,1,88.2,96.2,229.0,4.7,14.3,79,4.0,0.0,1.94
378,6,5,3,4,90.9,18.9,30.6,8.0,8.7,51,5.8,0.0,0.0
187,1,5,9,1,90.9,126.5,686.5,7.0,21.0,42,2.2,0.0,7.3
30,6,3,9,5,94.3,85.1,692.3,15.9,25.4,24,3.6,0.0,0.0
296,6,4,6,7,90.4,89.5,290.8,6.4,14.3,46,1.8,0.0,0.9
132,4,6,3,7,89.3,51.3,102.2,9.6,10.6,46,4.9,0.0,0.0
132,4,6,3,7,89.3,51.3,102.2,9.6,10.6,46,4.9,0.0,0.0
431,1,3,8,6,92.1,178.0,605.3,9.6,23.3,40,4.0,0.0,6.36
55,4,3,9,4,92.9,137.0,706.4,9.2,27.7,24,2.2,0.0,0.0
398,1,2,8,6,93.7,231.1,715.1,8.4,25.9,32,3.1,0.0,0.0
40,4,4,7,2,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0
503,2,4,8,3,94.5,139.4,689.1,20.0,29.2,30,4.9,0.0,1.95
250,8,5,8,3,93.1,157.3,666.7,13.5,26.8,25,3.1,0.0,0.68
279,4,4,12,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,9.77
342,6,3,9,1,91.5,130.1,807.1,7.5,20.6,37,1.8,0.0,0.0
397,5,6,8,7,91.6,181.3,613.0,7.6,24.3,33,3.6,0.0,3.63
109,4,5,9,1,88.6,91.8,709.9,7.1,17.4,56,5.4,0.0,0.0
44,4,4,9,3,90.1,82.9,735.7,6.2,12.9,74,4.9,0.0,0.0
455,3,4,7,1,94.6,160.0,567.2,16.7,17.9,48,2.7,0.0,0.0
33,6,3,9,7,91.7,75.6,718.3,7.8,17.7,39,3.6,0.0,0.0
385,2,4,8,7,91.6,181.3,613.0,7.6,20.9,50,2.2,0.0,16.0
263,6,3,8,5,91.1,141.1,629.1,7.1,19.3,39,3.6,0.0,1.56
328,6,5,9,6,92.2,102.3,751.5,8.4,19.7,35,1.8,0.0,0.0
502,4,4,8,2,96.1,181.1,671.2,14.3,20.7,69,4.9,0.4,0.0
436,8,6,8,1,92.1,207.0,672.6,8.2,26.8,35,1.3,0.0,0.54
59,2,2,2,5,86.6,13.2,43.0,5.3,12.3,51,0.9,0.0,0.0
297,8,6,6,7,90.4,89.5,290.8,6.4,15.4,45,2.2,0.0,0.0
365,6,5,9,2,91.9,111.7,770.3,6.5,19.6,45,3.1,0.0,20.03
123,3,4,9,2,84.4,73.4,671.9,3.2,17.9,45,3.1,0.0,0.0
273,4,6,12,7,84.4,27.2,353.5,6.8,4.8,57,8.5,0.0,8.98
442,6,5,4,1,87.9,24.9,41.6,3.7,10.9,64,3.1,0.0,3.35
84,1,2,8,4,91.7,114.3,661.3,6.3,20.2,45,3.6,0.0,0.0
94,8,6,8,1,91.1,103.2,638.8,5.8,23.4,22,2.7,0.0,0.0
393,2,4,3,2,93.4,15.0,25.6,11.4,15.2,19,7.6,0.0,0.0
409,1,4,7,2,92.3,96.2,450.2,12.1,23.4,31,5.4,0.0,0.0
103,2,4,9,6,92.5,121.1,674.4,8.6,24.1,29,4.5,0.0,0.0
55,4,3,9,4,92.9,137.0,706.4,9.2,27.7,24,2.2,0.0,0.0
405,2,2,8,2,94.6,212.1,680.9,9.5,27.9,27,2.2,0.0,0.0
125,3,4,10,7,92.6,46.5,691.8,8.8,20.6,24,5.4,0.0,0.0
437,8,6,8,6,89.4,253.6,768.4,9.7,14.2,73,2.7,0.0,0.0
87,1,2,9,4,92.9,137.0,706.4,9.2,22.4,34,2.2,0.0,0.0
208,6,5,9,5,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,19.23
331,7,4,9,6,91.2,124.4,795.3,8.5,21.5,28,4.5,0.0,15.64
268,3,4,8,2,92.1,152.6,658.2,14.3,21.0,32,3.1,0.0,0.0
465,2,2,2,6,79.5,3.6,15.3,1.8,4.6,59,0.9,0.0,6.84
49,4,4,3,1,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,0.0
131,4,6,3,1,87.2,23.9,64.7,4.1,14.0,39,3.1,0.0,0.0
515,1,4,8,6,94.4,146.0,614.7,11.3,25.6,42,4.0,0.0,0.0
135,3,5,8,6,93.5,139.4,594.2,20.3,17.6,52,5.8,0.0,0.0
473,9,4,6,6,90.5,61.1,252.6,9.4,24.5,50,3.1,0.0,70.32
363,4,3,9,2,91.9,111.7,770.3,6.5,15.9,53,2.2,0.0,2.93
184,8,6,8,5,93.9,135.7,586.7,15.1,20.8,34,4.9,0.0,6.96
503,2,4,8,3,94.5,139.4,689.1,20.0,29.2,30,4.9,0.0,1.95
341,8,6,9,1,91.9,111.7,770.3,6.5,15.7,51,2.2,0.0,0.0
147,8,3,9,2,84.4,73.4,671.9,3.2,24.2,28,3.6,0.0,0.96
152,3,4,7,6,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43
232,6,4,9,2,91.0,129.5,692.6,7.0,18.7,43,2.7,0.0,103.39
455,3,4,7,1,94.6,160.0,567.2,16.7,17.9,48,2.7,0.0,0.0
285,2,5,7,7,93.9,169.7,411.8,12.3,23.4,40,6.3,0.0,0.0
212,7,4,9,5,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,26.13
407,4,5,2,6,84.7,8.2,55.0,2.9,14.2,46,4.0,0.0,0.0
382,8,6,8,3,95.2,217.7,690.0,18.0,28.2,29,1.8,0.0,5.86
348,3,4,9,5,92.1,99.0,745.3,9.6,17.4,57,4.5,0.0,0.0
50,4,4,9,4,92.9,137.0,706.4,9.2,20.8,17,1.3,0.0,0.0
311,6,3,9,7,92.4,105.8,758.1,9.9,24.8,28,1.8,0.0,14.29
71,4,5,9,5,94.3,85.1,692.3,15.9,17.7,37,3.6,0.0,0.0
173,4,4,9,1,90.9,126.5,686.5,7.0,17.7,39,2.2,0.0,3.07
167,6,5,8,3,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0,2.51
461,8,6,8,6,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,0.0
99,3,4,8,7,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0.0
202,7,4,2,7,83.9,8.7,32.1,2.1,8.8,68,2.2,0.0,13.05
98,3,4,8,7,91.4,142.4,601.4,10.6,11.6,87,4.5,0.0,0.0
262,2,4,8,5,91.6,112.4,573.0,8.9,21.4,42,3.1,0.0,4.25
377,2,2,8,6,93.7,231.1,715.1,8.4,21.9,42,2.2,0.0,174.63
182,5,4,2,7,86.8,15.6,48.3,3.9,12.4,53,2.2,0.0,6.38
298,8,6,6,3,91.2,147.8,377.2,12.7,19.6,43,4.9,0.0,0.0
429,3,4,8,7,91.6,181.3,613.0,7.6,24.6,44,4.0,0.0,3.2
310,7,4,9,7,92.4,105.8,758.1,9.9,25.3,27,2.7,0.0,0.0
356,4,4,9,5,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,1.26
396,4,3,9,7,90.5,96.7,750.5,11.4,20.4,55,4.9,0.0,3.64
102,2,4,8,2,94.8,108.3,647.1,17.0,20.1,40,4.0,0.0,0.0
44,4,4,9,3,90.1,82.9,735.7,6.2,12.9,74,4.9,0.0,0.0
474,4,3,6,4,93.0,103.8,316.7,10.8,26.4,35,2.7,0.0,10.08
376,8,6,8,1,92.1,207.0,672.6,8.2,21.1,54,2.2,0.0,0.0
502,4,4,8,2,96.1,181.1,671.2,14.3,20.7,69,4.9,0.4,0.0
416,6,3,7,2,92.7,164.1,575.8,8.9,26.3,39,3.1,0.0,7.02
206,2,2,8,6,93.5,139.4,594.2,20.3,22.9,31,7.2,0.0,15.45
392,1,3,9,7,91.0,276.3,825.1,7.1,21.9,43,4.0,0.0,70.76
0,7,5,3,5,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0
403,8,6,8,4,90.7,194.1,643.0,6.8,21.3,41,3.6,0.0,0.0
378,6,5,3,4,90.9,18.9,30.6,8.0,8.7,51,5.8,0.0,0.0
45,5,6,9,3,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0,0.0
455,3,4,7,1,94.6,160.0,567.2,16.7,17.9,48,2.7,0.0,0.0
392,1,3,9,7,91.0,276.3,825.1,7.1,21.9,43,4.0,0.0,70.76
25,7,4,8,7,91.4,142.4,601.4,10.6,16.3,60,5.4,0.0,0.0
191,2,5,8,4,95.2,131.7,578.8,10.4,24.2,28,2.7,0.0,8.68
134,3,5,3,2,88.1,25.7,67.6,3.8,14.9,38,2.7,0.0,0.0
386,3,4,9,7,90.5,96.7,750.5,11.4,20.6,55,5.4,0.0,24.59
102,2,4,8,2,94.8,108.3,647.1,17.0,20.1,40,4.0,0.0,0.0
64,2,2,8,1,91.1,103.2,638.8,5.8,23.1,31,3.1,0.0,0.0
430,7,4,9,4,89.7,287.2,849.3,6.8,19.4,45,3.6,0.0,0.0
227,8,6,8,6,92.2,81.8,480.8,11.9,20.1,34,4.5,0.0,58.3
127,3,5,9,5,93.5,149.3,728.6,8.1,17.2,43,3.1,0.0,0.0
464,6,4,2,2,75.1,4.4,16.2,1.9,5.1,77,5.4,0.0,2.14
84,1,2,8,4,91.7,114.3,661.3,6.3,20.2,45,3.6,0.0,0.0
442,6,5,4,1,87.9,24.9,41.6,3.7,10.9,64,3.1,0.0,3.35
232,6,4,9,2,91.0,129.5,692.6,7.0,18.7,43,2.7,0.0,103.39
152,3,4,7,6,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43
214,4,4,3,6,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,28.66
52,4,3,8,3,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0
422,8,6,7,7,88.9,263.1,795.9,5.2,29.3,27,3.6,0.0,6.3
276,4,4,12,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,17.85
43,4,4,9,6,92.5,88.0,698.6,7.1,19.6,48,2.7,0.0,0.0
60,2,2,3,7,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,0.0
198,3,4,9,2,91.0,129.5,692.6,7.0,13.9,59,6.3,0.0,11.24
38,7,3,10,6,90.6,43.7,686.9,6.7,17.8,27,4.0,0.0,0.0
272,2,5,8,2,92.1,152.6,658.2,14.3,20.2,47,4.0,0.0,3.09
89,6,5,3,6,91.7,35.8,80.8,7.8,17.4,25,4.9,0.0,0.0
45,5,6,9,3,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0,0.0
367,4,5,9,2,91.1,132.3,812.1,12.5,16.4,27,3.6,0.0,0.0
12,6,5,8,5,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0,0.0
264,4,4,8,5,94.3,167.6,684.4,13.0,21.8,53,3.1,0.0,6.54
314,4,4,9,3,92.6,115.4,777.1,8.8,19.7,41,1.8,0.0,1.58
82,1,2,8,2,94.8,108.3,647.1,17.0,18.6,51,4.5,0.0,0.0
34,6,3,9,1,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0
186,8,6,3,7,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,7.19
132,4,6,3,7,89.3,51.3,102.2,9.6,10.6,46,4.9,0.0,0.0
300,6,5,6,1,90.4,93.3,298.1,7.5,20.7,25,4.9,0.0,0.0
281,6,5,12,2,85.4,25.4,349.7,2.6,5.1,24,8.5,0.0,24.77
178,2,5,9,3,90.1,82.9,735.7,6.2,18.3,45,2.2,0.0,4.88
44,4,4,9,3,90.1,82.9,735.7,6.2,12.9,74,4.9,0.0,0.0
380,5,4,7,3,93.7,101.3,458.8,11.9,19.3,39,7.2,0.0,7.73
188,6,4,3,6,90.8,41.9,89.4,7.9,13.3,42,0.9,0.0,7.4
457,1,4,8,3,91.7,191.4,635.9,7.8,19.9,50,4.0,0.0,82.75
503,2,4,8,3,94.5,139.4,689.1,20.0,29.2,30,4.9,0.0,1.95
79,1,2,8,2,91.0,121.2,561.6,7.0,21.6,19,6.7,0.0,0.0
292,4,5,7,5,91.6,100.2,466.3,6.3,22.9,40,1.3,0.0,2.64
286,7,6,7,3,91.2,183.1,437.7,12.5,12.6,90,7.6,0.2,0.0
129,2,5,10,7,92.6,46.5,691.8,8.8,15.4,35,0.9,0.0,0.0
264,4,4,8,5,94.3,167.6,684.4,13.0,21.8,53,3.1,0.0,6.54
3,8,6,3,5,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0
98,3,4,8,7,91.4,142.4,601.4,10.6,11.6,87,4.5,0.0,0.0
231,1,5,9,7,93.5,149.3,728.6,8.1,27.8,27,3.1,0.0,95.18
370,7,4,9,7,91.0,276.3,825.1,7.1,13.8,77,7.6,0.0,11.06
275,4,6,12,4,84.6,26.4,352.0,2.0,5.1,61,4.9,0.0,5.38
376,8,6,8,1,92.1,207.0,672.6,8.2,21.1,54,2.2,0.0,0.0
302,3,6,6,5,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0,0.0
335,4,3,9,1,91.6,108.4,764.0,6.2,9.8,86,1.8,0.0,0.0
20,6,4,9,2,91.0,129.5,692.6,7.0,18.3,40,2.7,0.0,0.0
99,3,4,8,7,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0.0
335,4,3,9,1,91.6,108.4,764.0,6.2,9.8,86,1.8,0.0,0.0
421,2,4,8,3,95.2,217.7,690.0,18.0,30.8,19,4.5,0.0,0.0
463,6,5,2,2,75.1,4.4,16.2,1.9,4.6,82,6.3,0.0,5.39
254,6,3,8,4,91.6,138.1,621.7,6.3,18.9,41,3.1,0.0,10.34
184,8,6,8,5,93.9,135.7,586.7,15.1,20.8,34,4.9,0.0,6.96
330,3,3,9,6,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,6.58
507,2,4,8,5,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0,0.0
324,6,5,9,4,88.1,53.3,726.9,5.4,13.7,56,1.8,0.0,4.42
276,4,4,12,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,17.85
359,1,4,9,5,92.5,122.0,789.7,10.2,21.1,39,2.2,0.0,8.12
266,6,5,8,2,94.3,131.7,607.1,22.7,19.4,55,4.0,0.0,0.17
464,6,4,2,2,75.1,4.4,16.2,1.9,5.1,77,5.4,0.0,2.14
243,7,4,8,7,91.8,175.1,700.7,13.8,21.9,73,7.6,1.0,0.0
143,1,2,7,6,90.0,51.3,296.3,8.7,16.6,53,5.4,0.0,0.71
89,6,5,3,6,91.7,35.8,80.8,7.8,17.4,25,4.9,0.0,0.0
474,4,3,6,4,93.0,103.8,316.7,10.8,26.4,35,2.7,0.0,10.08
386,3,4,9,7,90.5,96.7,750.5,11.4,20.6,55,5.4,0.0,24.59
113,3,4,9,1,91.8,78.5,724.3,9.2,18.9,35,2.7,0.0,0.0
338,8,6,9,1,91.6,108.4,764.0,6.2,22.7,35,2.2,0.0,7.48
188,6,4,3,6,90.8,41.9,89.4,7.9,13.3,42,0.9,0.0,7.4
17,8,5,10,1,84.9,32.8,664.2,3.0,16.7,47,4.9,0.0,0.0
156,2,4,9,6,93.4,145.4,721.4,8.1,28.6,27,2.2,0.0,1.61
424,8,6,8,6,93.7,231.1,715.1,8.4,26.9,31,3.6,0.0,4.96
153,5,4,9,5,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1.46
114,3,4,3,2,88.1,25.7,67.6,3.8,15.8,27,7.6,0.0,0.0
27,7,4,9,1,90.9,126.5,686.5,7.0,19.4,48,1.3,0.0,0.0
477,4,3,7,7,93.7,101.3,423.4,14.7,26.1,45,4.0,0.0,7.36
457,1,4,8,3,91.7,191.4,635.9,7.8,19.9,50,4.0,0.0,82.75
386,3,4,9,7,90.5,96.7,750.5,11.4,20.6,55,5.4,0.0,24.59
383,9,6,8,4,91.6,248.4,753.8,6.3,20.5,58,2.7,0.0,42.87
121,3,4,8,1,91.5,145.4,608.2,10.7,17.1,43,5.4,0.0,0.0
458,8,6,8,6,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,3.32
86,1,2,9,4,92.9,137.0,706.4,9.2,25.4,27,2.2,0.0,0.0
165,6,5,3,4,84.9,18.2,55.0,3.0,5.3,70,4.5,0.0,2.14
367,4,5,9,2,91.1,132.3,812.1,12.5,16.4,27,3.6,0.0,0.0
427,2,4,8,1,92.1,207.0,672.6,8.2,27.9,33,2.2,0.0,2.35
233,9,4,9,2,84.4,73.4,671.9,3.2,24.3,36,3.1,0.0,105.66
257,4,3,8,6,94.2,117.2,581.1,11.0,21.4,44,2.7,0.0,0.68
125,3,4,10,7,92.6,46.5,691.8,8.8,20.6,24,5.4,0.0,0.0
333,1,4,9,1,92.1,87.7,721.1,9.5,18.1,54,3.1,0.0,2.13
482,3,4,8,7,94.9,130.3,587.1,14.1,23.4,40,5.8,0.0,1.29
293,7,6,7,2,93.1,180.4,430.8,11.0,26.9,28,5.4,0.0,86.45
14,6,5,9,3,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,0.0
334,2,3,9,1,91.6,108.4,764.0,6.2,18.0,51,5.4,0.0,0.0
188,6,4,3,6,90.8,41.9,89.4,7.9,13.3,42,0.9,0.0,7.4
156,2,4,9,6,93.4,145.4,721.4,8.1,28.6,27,2.2,0.0,1.61
81,1,2,8,7,90.2,99.6,631.2,6.3,17.9,44,2.2,0.0,0.0
43,4,4,9,6,92.5,88.0,698.6,7.1,19.6,48,2.7,0.0,0.0
280,4,6,12,5,84.7,26.7,352.6,4.1,2.2,59,4.9,0.0,9.27
42,4,4,8,2,94.8,108.3,647.1,17.0,16.6,54,5.4,0.0,0.0
451,1,4,8,5,90.5,196.8,649.9,16.3,11.8,88,4.9,0.0,9.71
212,7,4,9,5,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,26.13
273,4,6,12,7,84.4,27.2,353.5,6.8,4.8,57,8.5,0.0,8.98
170,5,4,9,3,92.9,133.3,699.6,9.2,21.9,35,1.8,0.0,2.57
115,3,5,3,2,88.1,25.7,67.6,3.8,15.5,27,6.3,0.0,0.0
356,4,4,9,5,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,1.26
133,4,6,9,4,93.7,80.9,685.2,17.9,17.6,42,3.1,0.0,0.0
228,4,6,9,7,93.5,149.3,728.6,8.1,28.3,26,3.1,0.0,64.1
383,9,6,8,4,91.6,248.4,753.8,6.3,20.5,58,2.7,0.0,42.87
306,7,4,9,7,89.6,84.1,714.3,5.7,17.1,53,5.4,0.0,0.41
221,3,4,9,5,93.3,141.2,713.9,13.9,18.6,49,3.6,0.0,35.88
390,7,4,2,1,84.7,9.5,58.3,4.1,7.5,71,6.3,0.0,9.96
26,7,4,9,5,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0
69,4,5,3,5,91.7,33.3,77.5,9.0,17.2,26,4.5,0.0,0.0
479,7,4,7,1,89.2,103.9,431.6,6.4,22.6,57,4.9,0.0,278.53
510,6,5,8,5,91.0,166.9,752.6,7.1,18.2,62,5.4,0.0,0.43
265,4,4,8,2,93.7,102.2,550.3,14.6,22.1,54,7.6,0.0,0.79
240,6,3,4,3,88.0,17.2,43.5,3.8,15.2,51,2.7,0.0,0.0
209,8,3,9,4,93.7,80.9,685.2,17.9,23.2,26,4.9,0.0,23.41
501,7,5,8,2,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0.0
297,8,6,6,7,90.4,89.5,290.8,6.4,15.4,45,2.2,0.0,0.0
219,6,5,3,1,90.1,39.7,86.6,6.2,15.2,27,3.1,0.0,31.86
193,4,5,9,3,92.9,133.3,699.6,9.2,24.3,25,4.0,0.0,9.41
202,7,4,2,7,83.9,8.7,32.1,2.1,8.8,68,2.2,0.0,13.05
220,8,6,8,7,90.2,99.6,631.2,6.3,16.2,59,3.1,0.0,32.07
45,5,6,9,3,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0,0.0
34,6,3,9,1,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0
12,6,5,8,5,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0,0.0
108,4,5,9,6,92.5,88.0,698.6,7.1,20.3,45,3.1,0.0,0.0
217,1,3,9,1,88.6,91.8,709.9,7.1,12.4,73,6.3,0.0,30.32
142,8,6,8,5,90.1,108.0,529.8,12.5,21.2,51,8.9,0.0,0.61
186,8,6,3,7,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,7.19
506,1,2,8,5,91.0,166.9,752.6,7.1,18.5,73,8.5,0.0,0.0
432,8,6,8,4,94.8,222.4,698.6,13.9,23.9,38,6.7,0.0,0.0
129,2,5,10,7,92.6,46.5,691.8,8.8,15.4,35,0.9,0.0,0.0
160,7,4,3,1,90.1,39.7,86.6,6.2,16.1,29,3.1,0.0,1.75
115,3,5,3,2,88.1,25.7,67.6,3.8,15.5,27,6.3,0.0,0.0
503,2,4,8,3,94.5,139.4,689.1,20.0,29.2,30,4.9,0.0,1.95
264,4,4,8,5,94.3,167.6,684.4,13.0,21.8,53,3.1,0.0,6.54
29,6,3,9,7,93.5,149.3,728.6,8.1,22.8,39,3.6,0.0,0.0
480,9,9,7,4,93.2,114.4,560.0,9.5,30.2,25,4.5,0.0,2.75
222,4,3,3,1,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,36.85
155,7,4,8,7,94.8,108.3,647.1,17.0,16.4,47,1.3,0.0,1.56
316,4,5,9,4,92.4,96.2,739.4,8.6,18.6,24,5.8,0.0,0.0
314,4,4,9,3,92.6,115.4,777.1,8.8,19.7,41,1.8,0.0,1.58
178,2,5,9,3,90.1,82.9,735.7,6.2,18.3,45,2.2,0.0,4.88
152,3,4,7,6,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43
450,4,5,8,3,95.2,217.7,690.0,18.0,23.4,49,5.4,0.0,6.43
31,6,3,9,1,88.6,91.8,709.9,7.1,11.2,78,7.6,0.0,0.0
69,4,5,3,5,91.7,33.3,77.5,9.0,17.2,26,4.5,0.0,0.0
37,7,4,10,5,90.0,41.5,682.6,8.7,11.3,60,5.4,0.0,0.0
301,6,5,6,1,90.4,93.3,298.1,7.5,19.1,39,5.4,0.0,3.52
402,9,9,8,5,94.8,227.0,706.7,12.0,25.0,36,4.0,0.0,0.0
75,9,9,2,4,84.2,6.8,26.6,7.7,6.7,79,3.1,0.0,0.0
303,3,6,6,5,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0,0.0
418,2,4,8,7,92.0,203.2,664.5,8.1,24.9,42,5.4,0.0,2.44
